Star_name,Distance,solar_mass,solar_radius
SDSS J000013.54+255418.6 [de],46.1,0.045820225,0.10173537
2MASS J00040288-6410358,192.0,0.018137172,0.16750368
2MASS J00242463-0158201,37.7,0.07541245,0.11201167
2MASS J00274197+0503417,236.0,0.029592227,0.14797872
2MASSW J0030300-145033,87.2,0.05154775,0.10070774
2MASS J00332386-1521309 [de],131.0,0.027683051,0.14695108
2MASS J00345157+0523050,31.0,0.040092696,0.09659722
2MASS 0036+1821,28.6,0.040092696,0.09659722
2MASSW J0045214+163445,57.0,0.021955524,0.16647606
WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189
2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659722
2MASS J00584253-0651239 [de],96.0,0.027683051,0.14695108
2MASSI J0103320+193536,70.0,0.049638577,0.10070774
SDSSp J010752.33+004156.1 [de],51.0,0.049638577,0.10070774
2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606
2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843
SDSS J015141.69+124429.6,70.0,0.044865634,0.09968011
SDSS J020742.48+000056.2 [de],111.0,0.044865634,0.09968011
2MASS J02103857-3015313,101.0,0.01431882,0.15722738
2MASS J02340093-6442068,155.0,0.01909176,0.16647606
2MASS J02411151-0326587 [de],152.0,0.025773875,0.14489582
2MASS J02431371−2453298,35.0,0.031501405,0.10173537
LP 771-21,53.0,0.07445786,0.11098404
Teegarden's star,12.578,0.07636704,0.130509
2MASS J02535980+3206373,184.0,0.06204822,0.19524969
WISE J0254+0223,24.0,0.06204822,0.19524969
DEN 0255-4700,16.2,0.07636704,0.09968011
2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968011
2MASS J03205965+1854233,47.0,0.08400375,0.118177444
2MASS J03231002-4631237,192.0,0.021955524,0.17058657
SDSS J032553.17+042540.1,59.0,0.04295646,0.097624846
2MASS J03264225-2102057 [de],80.0,0.017182585,0.13359189
2MASS J03284265+2302051 [de],98.0,0.05154775,0.10070774
2MASS J03341218-4953322,27.0,0.06968492,0.10687351
LP 944-20,20.9,0.06968492,0.14695108
2MASP J0345432+254023,88.0,0.07063951,0.10790114
Teide 1,380.0,0.05250234,0.38844413
2MASS J03510004-0052452,48.0,0.09736798,0.130509
2MASS J03552337+1133437,29.8,0.01909176,0.13564716
2MASS J04151954−0935066,18.6,0.02863764,0.097624846
2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167
2MASS J04351612-1606574,34.0,0.0954588,0.12948138
2MASS J04362788-4114465,142.0,0.03722893,0.20244311
2MASS J04390101-2353083 [de],29.5,0.045820225,0.09968011
2MASS J04433764+0002040,82.0,0.021000937,0.18291813
2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763
2MASS J04510093-3402150 [de],69.0,0.06873034,0.10687351
2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763
2MASS J05012406-0010452 [de],64.0,0.020046348,0.14181294
2MASS J05160945-0445499 [de],73.0,0.044865634,0.09968011
2MASS J0523−1403,40.0,0.064911984,0.103790626
SDSS J053951.99-005902.0,41.62,0.058229867,0.103790626
LSR 0602+3910 [de],34.6,0.026728464,0.14489582
2MASS J06085283-2753583,102.0,0.036274344,0.15517212
2MASS J06244595-4521548 [de],39.0,0.05345693,0.10173537
2MASS J06411840-4322329 [de],65.0,0.06395739,0.103790626
